location,location_name
0,Kuala Lumpur - Ampang
1,Kuala Lumpur - Ampang Hilir
2,Kuala Lumpur - Bandar Damai Perdana
3,Kuala Lumpur - Bandar Menjalara
4,Kuala Lumpur - Bandar Tasik Selatan
5,Kuala Lumpur - Bangsar
6,Kuala Lumpur - Bangsar South
7,Kuala Lumpur - Brickfields
8,Kuala Lumpur - Bukit Bintang
9,Kuala Lumpur - Bukit Jalil
10,Kuala Lumpur - Bukit Tunku
11,Kuala Lumpur - Chan Sow Lin
12,Kuala Lumpur - Cheras
13,Kuala Lumpur - City Centre
14,Kuala Lumpur - Country Heights Damansara
15,Kuala Lumpur - Damansara
16,Kuala Lumpur - Damansara Heights
17,Kuala Lumpur - Desa Pandan
18,Kuala Lumpur - Desa ParkCity
19,Kuala Lumpur - Desa Petaling
20,Kuala Lumpur - Gombak
21,Kuala Lumpur - Jalan Ipoh
22,Kuala Lumpur - Jalan Kuching
23,Kuala Lumpur - Jalan Sultan Ismail
24,Kuala Lumpur - Jinjang
25,Kuala Lumpur - KL City
26,Kuala Lumpur - KL Sentral
27,Kuala Lumpur - KLCC
28,Kuala Lumpur - Kampung Baru
29,Kuala Lumpur - Kepong
30,Kuala Lumpur - Keramat
31,Kuala Lumpur - Kuchai Lama
32,Kuala Lumpur - Mid Valley City
33,Kuala Lumpur - Mont Kiara
34,Kuala Lumpur - OUG
35,Kuala Lumpur - Old Klang Road
36,Kuala Lumpur - Others
37,Kuala Lumpur - Pandan Indah
38,Kuala Lumpur - Pandan Jaya
39,Kuala Lumpur - Pandan Perdana
40,Kuala Lumpur - Pantai
41,Kuala Lumpur - Puchong
42,Kuala Lumpur - Pudu
43,Kuala Lumpur - Salak Selatan
44,Kuala Lumpur - Segambut
45,Kuala Lumpur - Sentul
46,Kuala Lumpur - Seputeh
47,Kuala Lumpur - Serdang
48,Kuala Lumpur - Setapak
49,Kuala Lumpur - Setiawangsa
50,Kuala Lumpur - Solaris Dutamas
51,Kuala Lumpur - Sri Damansara
52,Kuala Lumpur - Sri Hartamas
53,Kuala Lumpur - Sri Petaling
54,Kuala Lumpur - Sungai Besi
55,Kuala Lumpur - Taman Desa
56,Kuala Lumpur - Taman Melawati
57,Kuala Lumpur - Taman Permata
58,Kuala Lumpur - Taman Tun Dr Ismail
59,Kuala Lumpur - Titiwangsa
60,Kuala Lumpur - Wangsa Maju
61,Penang - Batu Kawan
62,Penang - Bukit Mertajam
63,Penang - Gelugor
64,Penang - Simpang Ampat
70,Selangor - Alam Impian
71,Selangor - Ampang
72,Selangor - Ara Damansara
73,Selangor - Balakong
74,Selangor - Bandar Botanic
75,Selangor - Bandar Bukit Raja
76,Selangor - Bandar Bukit Tinggi
77,Selangor - Bandar Kinrara
78,Selangor - Bandar Mahkota Cheras
79,Selangor - Bandar Puteri Klang
80,Selangor - Bandar Saujana Putra
81,Selangor - Bandar Sri Damansara
82,Selangor - Bandar Sungai Long
83,Selangor - Bandar Sunway
84,Selangor - Bandar Utama
85,Selangor - Bangi
86,Selangor - Banting
87,Selangor - Batu Caves
88,Selangor - Beranang
89,Selangor - Bukit Beruntung
90,Selangor - Bukit Jelutong
91,Selangor - Bukit Subang
92,Selangor - Cheras
93,Selangor - Cyberjaya
94,Selangor - Damansara Damai
95,Selangor - Damansara Perdana
96,Selangor - Damansara Utama
97,Selangor - Denai Alam
98,Selangor - Dengkil
99,Selangor - Glenmarie
100,Selangor - Gombak
101,Selangor - Hulu Langat
102,Selangor - I-City
103,Selangor - Jenjarom
104,Selangor - Kajang
105,Selangor - Kapar
106,Selangor - Kelana Jaya
107,Selangor - Klang
108,Selangor - Kota Damansara
109,Selangor - Kota Kemuning
110,Selangor - Kuala Langat
111,Selangor - Kuala Selangor
112,Selangor - Mutiara Damansara
113,Selangor - Petaling Jaya
114,Selangor - Port Klang
115,Selangor - Puchong
116,Selangor - Puchong South
117,Selangor - Pulau Indah (Pulau Lumut)
118,Selangor - Puncak Alam
119,Selangor - Puncak Jalil
120,Selangor - Putra Heights
121,Selangor - Rawang
122,Selangor - Saujana Utama
123,Selangor - Selayang
124,Selangor - Semenyih
125,Selangor - Sepang
126,Selangor - Serdang
127,Selangor - Serendah
128,Selangor - Seri Kembangan
129,Selangor - Setia Alam
130,Selangor - Shah Alam
131,Selangor - Subang Bestari
132,Selangor - Subang Jaya
133,Selangor - Sungai Buloh
134,Selangor - USJ
135,Selangor - Ulu Klang
