ads_id,prop_name,completion_year,monthly_rent,location,property_type_grouped,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,region,f_barbeque_area,f_club_house,f_gymnasium,f_jogging_track,f_lift,f_minimart,f_multipurpose_hall,f_playground,f_sauna,f_security,f_squash_court,f_swimming_pool,f_tennis_court,fa_air-cond,fa_internet,fa_washing_machine
100203973,Segar Courts,Unknown,2300,12,1,3,1,2,1170,2,"Playground, Parking, Barbeque area, Security, Jogging Track, Swimming Pool, Gymnasium, Lift, Sauna","Air-Cond, Cooking Allowed, Near KTM/LRT",0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,0,0
100191767,Sentul Point Suite Apartment,2020,1700,45,1,2,1,2,743,2,"Parking, Playground, Swimming Pool, Squash Court, Security, Minimart, Gymnasium, Lift","Cooking Allowed, Near KTM/LRT, Washing Machine",0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,1
97022692,Arte Mont Kiara,Unknown,1299,33,1,1,1,1,494,1,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",Air-Cond,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0
100322897,Residensi Vista Wirajaya,Unknown,1500,48,1,3,1,2,884,2,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall","Cooking Allowed, Near KTM/LRT",0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0
100322962,Sky Meridien,Unknown,2900,45,1,3,2,2,982,0,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1
100322885,Arte Plus Jalan Ampang,2018,1550,0,1,1,1,1,700,0,"Parking, Gymnasium, Playground, Security, Lift, Swimming Pool, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
100322866,Nova I,2014,1400,44,1,2,1,1,750,0,"Playground, Security, Parking, Lift, Swimming Pool","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1
100322863,Sofiya Residences,Unknown,1350,18,1,3,1,2,862,2,"Playground, Security, Parking, Lift, Swimming Pool, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT",0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0
100322813,The Park Sky Residence @ Bukit Jalil City,2019,2600,9,1,2,0,2,868,2,"Parking, Playground, Swimming Pool, Security, Multipurpose hall, Gymnasium, Jogging Track","Cooking Allowed, Near KTM/LRT",0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0
100322809,PV9 Residences @ Taman Melati,2022,2000,48,1,4,2,2,1100,2,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1
